,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model
10,23,115.78445601509242,1.0,0.2622070300768488,343.4267764959411,10,0.32082705674089185,288.05055117395835,1.0,0.5696954384611057,246.4483124257167,1.5,0.9057502116446252,178.6689655748447,1.5,0.08219468697468767,2.5,2.5,4.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,20,0,dikesnet
11,82,197.65982596582762,1.0,0.5426090419293961,69.7424446289312,1.0,0.21058128935485623,234.6939872311146,1.5,0.9902314596499651,292.2350157857529,10,0.976116367668448,253.9011395435183,1.0,0.9265739919142321,2.5,2.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,21,0,dikesnet
12,93,211.51052684459498,1.5,0.8358990236647296,114.5731322686237,1.0,0.8140151026972885,223.84572399145264,1.0,0.3339187283420086,196.76482777456528,10,0.26184705812555953,154.93018805440133,1.5,0.1992586167047356,2.5,2.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,22,0,dikesnet
13,66,167.1046257031873,10,0.49385483018600207,216.39521178694275,10,0.7918941166362805,130.39569539157222,10,0.15367351527875664,222.2127416063867,1.5,0.9177489358052106,174.15654635715256,10,0.9228863343018707,4.5,4.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,23,0,dikesnet
14,22,181.16308821650483,10,0.5104251476977022,220.68878105905995,10,0.9786011735583656,218.16389176844237,10,0.45225077252009627,64.98261769390427,1.0,0.38372348735355993,167.88086310933343,10,0.13237354085717618,1.5,4.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,24,0,dikesnet
15,34,302.34825550700725,1.0,0.08757851864133827,249.72352453114465,1.5,0.1184668905851352,156.94070250943636,1.5,0.8443370684425513,195.30202798955216,10,0.6861022609913955,271.8773453567437,1.0,0.008476422890940416,4.5,3.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,25,0,dikesnet
16,105,215.43474243835954,1.5,0.4954887455311024,256.4991097739726,10,0.005927965529099481,125.23564005514459,10,0.7109146340785124,290.5888501614218,1.0,0.34481083980948296,86.63663865094537,1.0,0.4294418717625631,1.5,1.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,26,0,dikesnet
17,131,85.06123709197297,1.0,0.13992567709483594,280.27238950648984,1.0,0.17053430411444018,152.01339636598374,1.5,0.9852536854586073,35.577520043307196,1.0,0.9840225076646908,173.4413758790336,10,0.6707080666340589,3.5,4.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,27,0,dikesnet
18,61,256.906217878593,1.0,0.8953003899339246,153.41055162213735,10,0.3428023074134575,264.0070100867367,1.0,0.2626560814511426,306.92291970676945,10,0.5021570683856297,146.09231452722943,10,0.8918670529254376,1.5,3.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,28,0,dikesnet
19,5,172.85064223275904,1.5,0.44271825047306107,149.96714052734103,1.5,0.3722094760071554,218.851716919484,1.5,0.5084738390583334,272.996111766008,1.0,0.20350512936312493,313.0087670539176,1.5,0.2264498046286339,1.5,1.5,4.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,29,0,dikesnet
20,9,230.8266716409417,10,0.5936042663556801,82.4065442024603,10,0.537009488522244,162.74427123940148,1.5,0.9164503988912637,138.28419849428727,10,0.42996607312060325,349.23738844503475,1.0,0.6929473733742029,4.5,3.5,4.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,30,0,dikesnet
21,113,224.07198228722115,1.5,0.8014959849564609,341.5558124744747,1.5,0.8502682987753247,159.77015694332297,1.5,0.5630166211442132,74.09236503563109,1.0,0.1956940032112611,325.5148670139556,1.5,0.6383014031270552,1.5,3.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,31,0,dikesnet
22,53,247.05495506705077,1.0,0.24428330969927303,33.765907416085724,1.0,0.3067609972957696,86.1167746544532,10,0.3946394337363742,196.13621223487198,10,0.2885476814577669,173.8301634389948,10,0.7876005013156733,3.5,2.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,32,0,dikesnet
23,49,246.86114851289278,1.5,0.508845012531641,225.9674715694141,1.5,0.5008714752963271,222.46188347434187,10,0.49665445229270616,344.2944178138267,1.0,0.9701871421473184,78.9515423794906,10,0.9540819634170259,4.5,3.5,4.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,33,0,dikesnet
24,39,237.11010002981826,1.5,0.048278434644206426,140.74589510729436,10,0.5567436297012069,338.0934841178923,10,0.2702038440019176,31.21261778522982,1.5,0.6499154324939045,83.83007528405949,1.5,0.6080309906968376,2.5,3.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,34,0,dikesnet
25,24,273.58717628746564,10,0.6458161198527747,60.72806452969634,1.0,0.7572612020260605,340.9381220168031,1.5,0.5249319425527079,94.41099704849394,1.5,0.12735701903124216,191.79691360113583,1.5,0.7410367987515244,3.5,4.5,4.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,35,0,dikesnet
26,112,140.3778286078015,10,0.025153885514302716,319.0329178905852,1.0,0.6008570592377401,158.4970418895912,1.0,0.5374152829530836,154.21426040446647,10,0.3138485249180065,180.45117278142993,10,0.0869196371075292,4.5,4.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,36,0,dikesnet
27,96,214.32801977400135,1.0,0.17904573808223156,59.0742157099994,1.0,0.7594442291022727,52.142926908133354,1.0,0.1708460816386702,36.637419992408944,1.0,0.03939555544911874,341.9695776963515,1.5,0.09111454060387787,3.5,4.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,37,0,dikesnet
28,47,159.8593717353965,1.0,0.04695779498115004,52.94538211228269,10,0.019595747826889005,137.80198946743593,1.0,0.1453741578765698,226.11983718183603,1.0,0.7718973170991243,318.55060053239197,10,0.4835992383597118,4.5,2.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,38,0,dikesnet
29,30,55.68551086229301,1.5,0.4008537453256068,293.33023064608466,1.0,0.08512114572372068,301.75175890965,1.0,0.638600959855279,228.18210212064784,1.0,0.24316571349298893,221.9586503367047,1.0,0.40174931366706507,4.5,4.5,4.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,39,0,dikesnet
30,16,170.3866607954996,1.5,0.05909526270942382,329.2517196239402,10,0.20181262380995113,126.83757210622238,1.0,0.4328206931773346,203.7460793250587,10,0.35945655631591894,267.32169392834226,1.0,0.5118572257712102,4.5,2.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,40,0,dikesnet
31,121,286.9375737790823,10,0.8296265612245604,299.9356894497296,1.0,0.08806478127002373,278.5057116537589,1.0,0.2269126929529406,218.291406167795,10,0.2699679189804781,232.563150886498,10,0.2647496997949338,4.5,4.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,41,0,dikesnet
32,63,338.21853306522434,1.0,0.535325423762709,46.54571488647597,1.0,0.5782091208094587,51.590413887349044,10,0.00785089867752765,147.865571707022,1.0,0.2457105802470013,343.461636109114,1.5,0.1896595838789622,4.5,1.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,42,0,dikesnet
33,2,319.29541248624537,10,0.10827857479999248,313.0575318275244,1.0,0.36647752882486406,255.31610057240016,1.0,0.4100012449439888,253.1122681069162,1.0,0.701920639924974,79.69102640536993,1.0,0.9572918676557228,1.5,3.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,43,0,dikesnet
34,25,135.54358301069243,1.5,0.7919736281197246,225.017224619766,1.5,0.32656571705100207,216.2766696384834,1.5,0.17411763647884676,59.39489432639009,1.0,0.09181890763205919,47.55696595133579,10,0.9776769777991945,4.5,2.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,44,0,dikesnet
35,0,201.73654503143612,10,0.5643270771004688,172.48481910286688,10,0.9373454276390965,250.09074054202014,1.5,0.5758927599006575,180.4980432072238,1.5,0.4160819522632484,209.13010662496362,10,0.8249443640275586,1.5,2.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,45,0,dikesnet
36,58,237.41227605618354,1.0,0.6118604564851449,243.14351569371559,1.5,0.9580611219432674,303.0578620955448,10,0.7660057995583118,296.2238003829957,1.0,0.820542086731913,149.94146837151874,1.0,0.7184442612219593,3.5,2.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,46,0,dikesnet
37,93,273.4320626693368,10,0.9656091559618444,290.84370653659784,1.0,0.3810947996947737,301.0714267275431,10,0.6811291958931787,67.3451256834521,1.0,0.23945499020652813,46.38203694515861,1.0,0.01813936030889091,2.5,2.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,47,0,dikesnet
38,56,212.72971142132462,1.0,0.5259947289250094,41.94593108632668,1.5,0.39338720987239717,339.530472643113,1.0,0.6135509546125913,251.692404561375,10,0.9128975859808122,74.23605034898361,1.5,0.8965135773305272,4.5,2.5,4.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,48,0,dikesnet
39,68,77.77796090494024,1.0,0.984800298372695,152.93124509596925,1.5,0.09692928628931699,336.4961064174576,1.5,0.5491690318001395,166.59842371001088,10,0.498357358214285,146.16473071723073,1.5,0.11773800220146484,2.5,3.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,49,0,dikesnet
40,36,191.32124555511976,1.0,0.6243639484351688,193.73271131159635,1.0,0.3967917666520242,291.1403723366257,10,0.9267416648037426,186.05475720597946,1.0,0.1461171804367505,207.3619152629458,1.5,0.8798137468299776,2.5,2.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,50,0,dikesnet
41,54,104.63503216392257,1.0,0.5707957333803853,139.244965030493,1.0,0.29934160271740745,269.24944751755646,1.0,0.8158121080861295,347.9034186130263,1.5,0.7860244992039237,215.73945963096673,10,0.3348193771691274,3.5,1.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,51,0,dikesnet
42,32,87.38549849257723,1.5,0.7943387452209176,158.15388880735634,1.5,0.5368966596309657,315.5824695069456,10,0.354681282899574,260.532822171265,1.0,0.7972948886208836,233.10724663721388,1.5,0.3900077032752916,1.5,1.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,52,0,dikesnet
43,112,246.4504751626534,10,0.833756044239446,111.53214219316189,10,0.3050584572466322,179.5303956683628,1.0,0.973351079681463,95.65093292028567,10,0.18836528676664452,49.40417498758785,1.0,0.25995279647889724,1.5,4.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,53,0,dikesnet
44,84,337.29574899790794,1.5,0.3710444373835898,112.99125790983668,1.0,0.25223825781525583,347.19805735946306,10,0.3281143248332037,141.45526853644077,1.5,0.2079847419227387,216.52469165702612,10,0.07107950394935163,1.5,4.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,54,0,dikesnet
45,117,242.9528297674285,10,0.4452023806799587,203.71891394602457,1.0,0.15799729668268947,85.60140905242505,1.5,0.3231152824709321,335.1887778239524,1.0,0.5415761667050393,30.373332625601503,1.0,0.46199602751757046,2.5,3.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,55,0,dikesnet
46,85,81.64271501986184,1.0,0.7335620129967959,270.21411657397243,1.5,0.04015147530684624,222.8532544852767,1.0,0.20140662624015268,279.18984511158976,1.0,0.6554701873287219,252.30262527483512,10,0.27670016305257455,2.5,3.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,56,0,dikesnet
47,80,204.5456008721931,1.0,0.45421556646733413,321.6174312216457,10,0.7643242473284095,344.2982972797252,1.0,0.35176047906147645,173.77260145338386,10,0.9285411720679215,94.0051869392611,1.5,0.4639073233062075,2.5,1.5,4.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,57,0,dikesnet
48,52,37.41121610216941,10,0.41770377276833104,136.35520604265457,1.0,0.4592859818966649,91.69339897254532,1.0,0.6459882666552045,311.41874357590143,1.0,0.2904750536881933,201.60843221082564,10,0.43905077055864566,1.5,4.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,58,0,dikesnet
49,26,292.64938676026856,10,0.5829632844885988,249.0879390133574,1.0,0.7072292802057275,266.35987347915136,10,0.2831910242369434,301.0673302460626,1.5,0.2709184090050908,54.18508064041929,10,0.970197055421409,4.5,1.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,59,0,dikesnet
50,120,242.5864906681126,1.0,0.3785519155978481,50.83756043923444,1.5,0.4625657083233228,216.6499853013319,1.0,0.12392450510010483,280.0011846309161,1.5,0.21787508538803896,184.46286373303667,10,0.9939997818891091,3.5,4.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,60,0,dikesnet
51,20,217.78979890199167,1.5,0.2385916762707692,185.49061138419657,1.0,0.1065415854494868,232.06304410925142,1.5,0.7137154238711007,313.8574206266794,1.5,0.08399303498633973,212.02408631283132,10,0.1319418301481684,4.5,1.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,61,0,dikesnet
52,72,150.0650946682859,1.0,0.9186350837578591,128.3940411978329,1.0,0.5979704325555604,284.1913714110817,1.5,0.4345568709968907,42.379633651129396,10,0.8170281819016105,61.50267336130917,10,0.9003935902389691,1.5,4.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,62,0,dikesnet
53,114,191.0587803943825,10,0.7342331930019758,245.6772089999862,1.0,0.2752283461618704,33.61046843229022,1.5,0.5321720237226457,177.82268165527734,10,0.42007996881332155,126.06839726293374,1.0,0.294311692273052,4.5,1.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,63,0,dikesnet
54,64,228.5347910444473,10,0.49167530314174535,182.12989849091946,1.0,0.03680252113001972,174.46875238665365,10,0.036173413009049325,307.41187578590797,1.5,0.9718331343676699,33.7730627658781,1.5,0.3843513584349106,4.5,3.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,64,0,dikesnet
55,52,69.0378756987007,10,0.35095103196422456,179.8767160449749,1.5,0.017761137909688102,106.12824606000439,1.0,0.17226674359835803,255.93507886979566,10,0.054086584880282576,65.9818502588632,1.5,0.20954824702351266,2.5,4.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,65,0,dikesnet
56,47,188.0949276458569,1.5,0.5060622736314065,49.61378897423668,1.5,0.3831506660746411,65.57844061718868,1.0,0.5670696462821605,274.04753927783355,10,0.14335297982718134,135.50691317278017,10,0.06678766116964155,3.5,3.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,66,0,dikesnet
57,8,71.25447848675444,1.0,0.3651621571689856,296.25429299807945,10,0.948762154267321,317.4736982953352,10,0.060510920211149094,152.25802875119248,1.0,0.10598667350755824,309.47675425185116,10,0.49263084787350225,4.5,3.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,67,0,dikesnet
58,102,40.202593618455445,1.5,0.21889168291682043,254.64964799009255,10,0.9840315247595341,190.08143301732275,10,0.36454341456881456,295.8188441347907,10,0.5734483943192721,111.17053096494601,1.0,0.5805891205463144,2.5,3.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,68,0,dikesnet
59,14,88.31797224715694,10,0.7845810643727306,267.94227069908084,10,0.8715448721505994,50.982787446347274,10,0.8519806102724639,50.44798185855753,10,0.5279931938250393,157.68738488806662,10,0.3225904213364473,2.5,3.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,69,0,dikesnet
60,125,55.40328785176603,10,0.8138997116277886,231.03718315273582,1.5,0.33124633947279264,67.68025441906335,1.0,0.24850085906879812,264.474668907809,1.5,0.4872166706091557,280.9865254338092,1.0,0.49444978801041667,1.5,2.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,70,0,dikesnet
61,36,305.6125549400775,10,0.7367678750895437,156.17640001665342,1.0,0.6243470555912252,274.6513174918932,1.5,0.34871454086760073,94.81200007591005,1.5,0.49133851968158454,314.44583171472453,10,0.9184006471838977,1.5,4.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,71,0,dikesnet
62,28,281.82609819609957,1.5,0.4945051613094059,187.58944612932007,1.0,0.7796156971782616,176.1777406401798,1.5,0.8708944745018601,75.42492146589967,1.5,0.5363032248529689,332.8021589913209,1.0,0.7983047564512806,1.5,2.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,72,0,dikesnet
63,27,60.063833882884104,10,0.17553959375419198,289.9117705840018,10,0.35417826935854796,337.6176476507589,1.5,0.5420563024077518,159.51590123486875,1.0,0.2120575999719149,262.1858293430167,1.5,0.10921115898120633,4.5,1.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,73,0,dikesnet
64,119,340.9316963472298,1.0,0.19388111944806857,159.67832426600634,1.5,0.5306010419468775,186.25169847053056,10,0.6338983157252961,173.64754951776874,10,0.12521302053562566,241.53348795107533,1.5,0.22379161467212966,3.5,2.5,2.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,74,0,dikesnet
65,123,182.0960917310159,1.0,0.4695340208338738,171.50387192377445,1.5,0.16523128227163866,290.4114816074863,1.5,0.8898642772341093,151.7328045304999,10,0.18745948148134686,289.5930241743004,10,0.9219721378314563,1.5,1.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,75,0,dikesnet
66,107,87.21461712120015,1.0,0.23793780076377272,305.25954517445746,1.0,0.8126790819333914,234.9837247800712,1.0,0.014089642932115119,34.665829918360245,1.0,0.4127751851330388,120.18771576701914,10,0.8818319486417541,1.5,1.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,76,0,dikesnet
67,4,235.91423173140464,1.0,0.8667064955208156,275.68619447893104,10,0.24428266343270116,69.19549672341466,1.0,0.9034513577810467,247.0518788757925,1.0,0.31755637288805205,145.61383399693554,1.5,0.7125493370655415,1.5,2.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,77,0,dikesnet
